id,prevExp,jobResp,training,research,gathering,engage,metrics,socialMedia,degree,security,position,newsroom,researchFreq,engageFreq,subregion
1496,7,"1:3,2:3,3:2,4:0,5:0,7:3,8:2,9:2,10:2,11:3,12:3,13:2,14:0,15:1,16:2,17:2,18:2,19:2,20:0,21:0,24:0,25:3","4,6,16,23,24","1,2,4,15","1,2,3,7,9,11,12,14,15,16,17,18,19,20","2,13,16",23,"1:1,2:2,3:2,4:2,5:0,6:3,7:2,8:1,9:2,10:2,11:2,12:3",1,"6,8",7,1,"1:3,2:2,3:0,4:3,5:3,6:3,7:2,8:2","1:3,4:3,5:3,7:3",Middle East and North Africa
1497,1,"1:3,2:2,3:2,4:1,5:1,6:2,8:2,9:2,10:1,11:2,12:1,13:1,14:1,15:1,16:2,17:3,18:3,19:2,20:2,21:2,22:2,23:2,24:3,25:2","1,2,10,23,24","1,4,9,15","1,3,7,9,12,13,17,18,20","1,2,7,16","1,3,4,8","1:1,2:2,3:3,4:3,5:1,6:2,7:3,8:2,9:1,10:0,11:1,12:2",4,"2,4,8",7,1,"1:2,2:1,3:1,4:1,5:1,6:2,7:1,8:2","1:3,2:3,3:1,4:2,5:2,7:3",Middle East and North Africa
1498,"1,2,4,6","1:2,2:3,3:3,4:3,5:2,6:1,7:1,8:1,9:3,10:3,11:3,12:2,13:1,14:2,15:3,16:1,17:2,18:2,19:2,20:3,21:3,22:2,23:2,24:2,25:2","2,4,5,23,24","1,2,3,8,15","1,2,9,12","1,2,4,16","3,4,11","1:3,2:2,3:2,4:2,5:2,6:3,7:3,8:2,9:2,10:2,11:2,12:2",4,"2,8",5,1,"1:3,2:3,3:1,4:2,5:2,6:2,7:3,8:2","1:3,4:2,5:2",Middle East and North Africa
1499,3,"1:2,2:3,3:2,4:3,5:3,6:0,7:0,8:2,9:0,10:2,11:2,12:2,13:2,14:0,15:0,16:3,17:3,18:2,19:0,20:0,21:0,22:0,23:3,24:0,25:3","1,10,14,23,24","1,2,4,15","2,11,18,20","2,4,13,16","2,4,11","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",5,1,"1:3,2:3,3:2,4:3,5:3,6:2,7:2,8:3","1:3,2:3,3:2,4:3,5:3,6:3,7:3",Middle East and North Africa
1500,1,"1:2,2:1,3:1,4:1,5:0,6:0,7:0,8:1,9:1,10:1,11:1,12:2,13:0,14:0,15:2,16:1,17:3,18:1,19:1,20:1,21:3,22:3,23:2,24:1,25:1","1,4,10,17,23,24","4,15","1,2,3,9,10,20,21","2,16",4,"1:2,2:2,3:3,4:3,5:3,6:2,7:2,8:1,9:2,10:1,11:1,12:3",3,"6,8",5,1,"1:3,2:3,3:3,4:3,5:3,6:2,7:1,8:2","1:3,3:2",Middle East and North Africa
1501,7,null,"23,24",15,null,16,null,null,4,8,6,6,null,null,null
1502,"1,3,5",null,"23,24",15,null,16,null,null,1,8,4,6,null,null,null
1503,2,null,"23,24",15,null,16,null,null,3,8,4,6,null,null,null
1505,"1,2,3","1:3,2:3,3:1,4:3,5:0,6:0,7:3,8:0,9:0,10:0,11:0,12:2,13:0,14:0,15:0,16:3,17:3,18:2,19:0,20:2,21:0,22:0,23:0,24:0,25:0","23,24",15,null,16,null,null,"1,4",8,5,1,null,null,null
1506,3,"1:1,2:1,3:3,4:3,5:0,6:0,7:0,8:1,9:0,10:0,11:2,12:3,13:2,14:0,15:2,16:3,17:2,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:2","1,7,21,23,24","1,4,15","1,2,9,10,20","2,4,13,16","2,4,21","1:2,2:3,3:3,4:3,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,4","6,7,8",5,6,"1:3,2:3,3:1,4:3,5:3,6:3,7:0,8:2","1:3,2:3,3:1,4:3,5:3,6:2,7:1",Middle East and North Africa
1508,"1,2,3,5,6","1:3,2:3,3:3,4:3,5:3,6:2,7:2,8:3,9:2,10:2,11:3,12:3,13:2,14:3,15:2,16:3,17:3,18:3,19:2,20:3,21:3,22:3,23:3,24:2,25:3","2,5,6,9,10,11,13,15,16,18,19,23,24","1,2,4,15","1,2,3,7,8,9,10,11,14,18,20,21","2,4,11,13,16","2,3,5,6,8,10,13,19,21","1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3,9:3,10:3,11:2,12:2",3,"6,8",5,1,"1:3,2:3,3:2,4:3,5:3,6:3,7:2,8:2","1:3,2:3,3:2,4:3,5:1,6:2,7:2",Middle East and North Africa
1510,3,null,"23,24",15,null,16,null,null,null,8,6,1,null,null,null
1511,"1,2","1:2,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,2,3,4,5,6,23,24","1,4,9,15","1,2,13","1,4,6,16",2,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",4,"3,8",10,6,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:2,7:3",Middle East and North Africa
1512,3,null,"23,24",15,null,16,null,null,1,8,8,1,null,null,null
1513,1,"1:2,2:3,3:1,4:3,5:1,6:2,7:2,8:3,9:3,10:2,11:2,12:2,13:2,14:1,15:1,16:3,17:3,18:1,19:2,20:2,21:2,22:2,23:1,24:0,25:3","16,17,21,23,24","2,3,15","1,2,3,8,10,13,21","2,5,9,13,16","2,3,4,5,6,8,10,11,12,13,14,18,19,20","1:2,2:3,3:3,4:2,5:2,6:3,7:2,8:1,9:2,10:2,11:2,12:3",null,"6,8",8,3,"1:3,2:3,3:1,4:3,5:2,6:3,7:2,8:2","1:2,2:3,3:1,4:2,5:2,6:1,7:1",Middle East and North Africa
1514,5,"1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2,13:2,14:2,15:2,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:2,25:2","23,24",15,null,16,null,null,3,8,7,6,null,null,null
1515,"2,3,4,5","1:2,2:1,3:0,4:0,5:0,6:3,7:3,8:3,9:3,10:2,11:2,12:3,13:1,14:2,15:2,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:1,25:3","1,2,3,23,24","1,2,3,4,6,8,9,12,15","1,2,3,5,7,8,9,10,11,12,13,14,15,17,18,19,20,21","1,2,3,5,7,11,13,16","2,3,5,6,7,9,11,12,13,16,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:2,10:2,11:3,12:3",null,"1,3,8",5,4,"1:3,2:3,3:2,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:2,4:3,5:3,6:3,7:3",Middle East and North Africa
1516,"2,3","1:2,2:2,3:3,4:2,5:2,6:1,7:2,8:3,9:1,10:1,11:2,12:2,13:2,14:0,15:1,16:3,17:3,18:2,19:2,20:2,21:2,22:2,23:3,24:1,25:2","1,2,8,23,24","2,4,5,15","1,3,9,10,14,20","2,4,5,16","5,7,13,15,21","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:2,10:2,11:2,12:3",1,"6,8",5,1,"1:3,2:2,3:2,4:3,5:2,6:1,7:1,8:3","1:3,2:3,3:2,4:2,5:2,6:3,7:3",Middle East and North Africa
1517,"1,3","1:3,2:2,3:3,4:3,5:3,6:0,7:0,8:3,9:3,10:3,11:3,12:3,13:2,14:0,15:2,16:3,17:3,18:0,19:0,20:0,21:3,22:3,23:3,24:3,25:3","2,4,13,23,24","2,4,9,15","1,2,5,9,10,13,14,17,18,19,20,21","2,4,6,16","2,4,5,6,11,18,19,21","1:3,2:0,3:3,4:3,5:3,6:3,7:2,8:3,9:0,10:3,11:3,12:3",1,"3,5,7,8",5,1,"1:3,2:3,3:2,4:3,5:2,6:3,7:2,8:2","1:3,2:3,3:0,4:3,5:3,6:0,7:0",Middle East and North Africa
1518,"1,2",null,"23,24",15,null,16,null,null,1,8,7,4,null,null,null
1519,"1,2","1:3,2:3,3:2,4:3,5:1,6:3,7:2,8:2,9:2,10:2,11:3,12:3,13:1,14:1,15:2,16:3,17:3,18:2,19:2,20:2,21:2,22:1,23:2,24:1,25:2","1,2,3,23,24","1,4,15","1,2,9","1,2,16","2,3,5,7,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",7,4,"1:3,2:3,3:1,4:2,5:1,6:3,7:2,8:2","1:3,2:3,3:1,4:2,5:3,6:2,7:2",Middle East and North Africa
1520,7,null,"23,24",15,null,16,null,null,3,8,6,1,null,null,null
1522,"1,2","1:3,2:2,3:3,4:2,5:3,6:2,7:1,8:3,9:1,10:1,11:3,12:1,13:1,14:1,15:1,16:2,17:3,18:3,19:2,20:2,21:2,22:2,23:3,24:3,25:3","23,24","1,2,4,9,15","1,3,7,9,10,14,17,18,20,21","1,2,11,13,16",null,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:0,10:2,11:2,12:3","1,2","6,8",7,6,"1:3,2:1,3:3,4:3,6:3,7:2,8:3","1:3,2:3,3:1,4:3,5:3,6:3,7:3",null
1523,"1,4,5","1:3,2:0,3:0,4:1,5:0,6:3,7:1,8:3,9:1,10:2,11:3,12:2,13:1,14:0,15:2,16:2,17:2,18:3,19:3,20:2,21:2,22:2,23:3,24:3,25:2","16,18,23,24","5,9,12,15","1,2,9,10,12,13,14,16,21","1,2,16","1,2,6,8,18,19,20,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:2,9:3,10:2,11:3,12:3",4,"6,8",6,3,"1:3,2:3,3:1,4:3,5:2,6:1,7:2,8:3","1:3,2:3,3:1,4:2,5:1,6:1,7:1",Middle East and North Africa
1524,1,"1:3,2:2,3:2,4:1,5:2,6:3,7:3,8:3,9:3,10:1,11:3,12:3,13:1,14:1,15:1,16:3,17:3,18:2,19:3,20:3,21:3,22:3,23:3,24:3,25:3","2,6,8,10,12,23,24","1,15","1,2,3,5,12","1,2,7,16",22,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:2,12:3",3,"6,8",5,4,"1:3,2:3,3:2,4:1,5:1,6:3,7:3,8:2","1:3,2:3,3:2,4:2,5:3,6:3,7:3",Sub-Saharan Africa
1525,"1,2","1:3,2:3,3:3,4:3,5:2,6:0,7:1,8:0,9:0,10:0,11:1,12:0,13:1,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:1,25:1","5,11,18,23,24","3,4,9,15","1,3,10,20","1,2,16","2,4,5,13","1:2,2:3,3:3,4:2,5:2,6:3,7:3,8:2,9:2,10:2,11:2,12:2",4,"6,8",7,1,"1:3,2:1,3:0,4:3,5:0,6:1,7:0,8:0","1:3,2:3,3:0,4:3,5:3,6:2,7:2",Middle East and North Africa
1527,"1,3,4,5,6","1:2,2:2,3:2,8:3,9:3,10:3,11:3,12:3,13:3,14:3,16:2,17:2,18:2,19:1,20:1,21:2,22:1,23:2,24:2,25:2","8,23,24","1,3,15","1,2,3,7,8,9,11,12,14,17,19","1,2,7,16","4,6","1:2,2:3,3:2,4:3,5:2,6:3,7:3,10:1,11:1,12:2",1,"2,8",10,4,"1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3","1:3,3:2,4:2,5:2,6:2,7:3",null
1528,"1,3,5","1:3,2:3,3:2,4:3,5:2,6:0,7:1,8:3,9:2,10:2,11:2,12:3,13:2,14:2,15:2,16:2,17:2,18:3,19:2,20:2,21:3,22:2,23:3,24:2,25:3","2,13,18,20,23,24","1,2,4,15","1,2,3,10,14,15,18,20,21","2,8,11,16","2,13,14,17,21","1:3,2:2,3:3,4:3,5:3,6:3,7:2,8:2,9:3,10:1,11:2,12:3",3,"6,8",5,6,"1:3,2:2,3:1,4:2,5:2,6:3,7:1,8:2","1:3,3:2,4:3,5:3",Middle East and North Africa
1529,"1,3,6","1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","1,16,17,23,24","1,4,15","1,2,9,10,20","1,2,13,16","2,4","1:3,2:1,3:3,4:2,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",5,4,"1:3,3:1,4:3,5:3,6:3,7:3,8:1","1:3,2:3,3:2,4:3,5:2,6:2,7:2",Middle East and North Africa
1530,"1,3,4,5","1:3,2:2,3:3,4:3,5:3,6:2,7:1,8:2,9:2,10:2,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:2,19:3,20:3,21:3,22:2,23:2,24:2,25:3","1,2,3,4,5,6,23,24","4,15","1,2,8,9,10,11,13,17,20","2,3,4,5,6,16","2,3,4,5,6,7,8,9","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,2","6,8",10,1,"1:3,2:3,3:1,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:0,4:3,5:3,6:3,7:3",Middle East and North Africa
1531,"1,2,3,5","1:3,2:3,3:3,4:2,5:0,6:2,7:3,8:3,9:3,10:2,11:2,12:2,13:2,14:0,15:2,16:2,17:3,18:0,19:1,20:3,21:2,22:2,23:3,24:0,25:3","2,4,11,13,16,17,18,20,21,23,24","2,4,11,15","1,8,13,14,17","1,2,3,8,16","2,3,4,5,6,8,9,15,19,20","1:3,2:3,3:1,4:2,5:3,6:3,7:2,8:2,9:3,10:2,11:3,12:2",1,8,5,1,"1:2,2:2,3:2,4:2,5:2,6:2,7:3,8:3","1:3,3:3,7:3",Middle East and North Africa
1532,1,"1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,7,12,23,24","2,3,4,15","1,9,14,15,20","1,2,12,16","1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"2,4,8",7,4,"1:3,2:2,3:1,4:2,5:2,6:2,7:2,8:2","1:3,2:3,4:2,7:2",Middle East and North Africa
1533,2,"1:2,2:2,3:1,4:1,5:1,6:3,7:3,8:2,9:2,10:0,11:1,12:1,13:1,14:1,15:1,16:1,17:1,18:1,19:1,20:2,21:2,22:2,23:1,24:1,25:2","1,3,5,8,9,11,16,20,23,24","1,2,4,15","1,2,3,11,19","1,2,3,5,8,11,16","2,3,5,7,11,13,18","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:2,11:2,12:3",1,"6,8",8,1,"1:3,2:3,3:0,4:3,5:3,6:2,7:1,8:2","1:3,2:3,3:0,4:3,5:3,6:2,7:2",Middle East and North Africa
1534,"3,5","1:3,2:3,3:3,4:3,6:3,9:3","2,4,5,23,24","1,3,4,8,15","1,9,10,11,12,14,19,20","1,2,4,16","1,3,4,5,7,13,19,20","1:3,2:3,3:3,4:3,5:2,6:3,8:2,9:2,10:2,11:3,12:3","1,2","2,8",10,4,"1:3,4:3,7:2,8:2","1:3,4:3,7:3",Sub-Saharan Africa
1535,"1,2,4,6","1:3,2:3,3:3,4:3,5:3,6:2,7:2,8:3,9:3,10:3,11:3,12:2,13:2,14:2,15:2,16:3,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:3,25:2","23,24",15,null,16,null,null,"1,4",8,8,4,null,null,null
1537,4,"1:0,2:1,3:0,4:0,5:0,6:0,7:0,8:2,9:0,10:1,11:1,12:0,13:0,14:0,15:1,16:1,17:0,18:2,19:0,20:0,21:0,22:0,23:3,24:0,25:0","6,7,16,23,24","4,8,9,15","1,2,3,7,8,9,10,11,12,13,14,15,17,18,20","2,11,13,16","2,3,4,13,14,19,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:1,11:1,12:3",1,"6,8",7,1,"1:3,2:2,3:1,4:3,5:1,6:2,7:3,8:3","1:3,2:3,3:1,4:0,5:3,6:0,7:0",Middle East and North Africa
1538,"1,5","1:3,2:3,3:1,4:2,5:1,6:2,7:1,8:3,9:2,10:1,11:2,12:3,13:1,14:1,15:1,16:3,17:3,18:2,19:2,20:2,21:3,22:3,23:3,24:0,25:3","1,2,4,23,24","8,15","1,2,3,9,10,12,18","2,11,16","1,2,4,5,7,8,9,10,14,17,21,22","1:3,2:2,3:3,4:3,5:2,6:3,7:2,8:2,9:3,10:2,11:2,12:3",1,"6,8",5,4,"1:2,2:2,3:1,4:2,5:1,6:2,7:2,8:3","1:3,2:3,3:1,4:1,5:2,6:2,7:2",null
1539,"2,3","1:3,2:0,3:3,4:2,5:3,6:3,7:3,8:3,9:1,10:0,11:3,12:3,13:3,14:0,15:0,16:3,17:3,18:1,19:3,20:0,21:1,22:2,23:3,24:0,25:3","1,9,19,21,23,24","1,2,4,15","1,2,9,20,21","2,5,12,16","2,5,16,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",3,1,"1:3,2:3,3:1,4:3,5:2,6:3,7:3,8:3","1:3,2:3,3:2,4:3,5:3,6:2,7:2",null
1540,"1,2,3,5",null,"23,24",15,null,16,null,null,1,8,4,6,null,null,null
1541,2,"1:2,2:2,3:2,4:2,5:1,6:3,7:3,8:2,9:2,10:2,11:2,12:2,13:2,14:2,15:2,16:2,17:2,18:0,19:0,20:1,21:2,22:2,23:2,24:2,25:2","23,24",15,null,16,null,null,1,8,5,1,null,null,null
1542,"2,3,6","1:3,2:3,3:1,4:3,5:2,6:2,7:3,8:3,9:1,11:3,12:3,13:3,14:1,15:2,16:3,17:3,18:3,19:2,20:3,21:2,22:3,23:3,24:2,25:3","1,2,4,5,6,7,10,15,23,24","1,3,15","1,2,5,7,9,10,11,12,13,14,17,18,20","1,2,4,5,7,8,16","1,2,4,5,7,8,15,19","1:3,2:3,3:2,4:3,5:3,6:2,7:2,8:2,10:3,11:2,12:2","1,2","6,8",10,1,"1:3,2:3,3:1,4:3,5:2,6:2,7:2,8:2","1:3,2:3,3:1,4:3,5:1,6:1,7:1",Middle East and North Africa
1543,1,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,21:3,22:3,23:3,24:3,25:3","23,24","2,8,9,15","1,3","2,4,12,16",null,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",2,8,8,4,1:03,"1:3,2:3",null
1544,7,null,"23,24",15,null,16,null,null,1,8,6,1,null,null,null
1546,"1,2,3,5","1:2,2:3,3:3,4:3,5:3,6:3,7:2,8:3,9:3,10:2,11:2,12:0,14:1,15:2,16:2,17:2,18:3,19:0,20:1,21:3,22:3,23:3,24:3,25:3","2,16,18,23,24","1,2,3,4,8,9,15","1,2,3,9,10,11,12,13,14,15,18,20,21","1,2,4,6,11,13,16","2,4,6","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,10:3,11:3,12:3",null,"6,8",5,4,"1:3,2:3,3:3,4:3,6:3,7:3,8:3","1:3,2:3,4:3,5:3,6:3,7:3",Middle East and North Africa
1547,"1,3,5","1:1,2:2,3:2,4:2,5:1,6:3,7:1,8:3,9:2,10:1,11:1,12:3,13:1,14:0,15:1,16:3,17:3,18:3,19:2,20:3,21:1,22:3,23:2,24:1,25:3","1,4,10,12,13,17,18,23,24","1,4,9,15","1,2,3,9,10,12,13,20","1,2,3,11,13,16","1,2,3,4,5,7,9,10,12,13,14,18,19,21","1:3,2:2,3:3,4:3,5:3,6:2,7:2,8:2,9:3,10:2,11:3,12:3",4,"6,8",10,4,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:2,7:2",Middle East and North Africa
1548,"1,3","1:3,2:1,3:0,4:3,5:0,6:1,7:0,8:3,9:2,10:0,11:3,12:3,13:3,14:0,15:0,16:3,17:3,18:0,19:0,20:0,21:2,22:2,24:0,25:0","2,6,15,23,24","4,5,9,15","1,2,5,9,10,17,21","2,5,16","5,18","1:3,2:2,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:1,11:2,12:3",1,"6,8",7,4,"1:3,2:2,3:1,4:3,5:2,6:2,7:3,8:3","1:3,2:3,3:1,4:3,5:3,6:1,7:1",Middle East and North Africa
1549,"1,2","1:3,2:3,3:1,4:2,5:0,6:2,7:3,8:3,9:2,10:2,11:3,12:3,13:0,14:0,15:1,16:2,17:2,18:2,19:1,20:2,21:1,22:2,23:3,24:0,25:3","21,23,24","1,4,9,15","1,2,3,7,10,12,14,17,18,19,20,21","2,16","2,3,4,13,17,21","1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:2,9:3,10:3,11:3,12:3",4,"6,8",5,1,"1:3,2:2,3:1,4:2,5:1,6:3,7:2,8:3","1:3,2:3,3:3,4:2,5:3,6:2,7:2",Middle East and North Africa
1551,"1,2,3,5","1:1,2:1,3:1,4:3,5:3,6:0,7:1,8:1,9:2,10:2,11:2,12:1,13:2,14:0,15:2,16:3,17:2,18:1,19:0,20:3,21:3,22:3,23:2,24:0,25:2","1,4,5,10,18,20,23,24","13,15","2,9,14,20","4,5,16","2,3,4,6,8,14","1:2,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:2,10:2,11:0,12:3","2,4","6,8",2,1,"1:1,2:3,3:0,4:2,5:1,6:2,7:0,8:0","1:2,2:2,3:0,4:2,5:2,6:0,7:0",Middle East and North Africa
1553,"1,2,3","1:2,2:3,3:3,4:3,5:3,6:1,7:1,8:1,9:1,10:1,11:2,12:2,13:2,14:2,15:2,16:2,17:2,18:1,19:2,20:1,21:1,22:1,23:2,24:1,25:1","1,11,21,23,24","2,15","2,3,9,14,15,17,20","2,13,15,16","1,4,5,6,7,11,12,21","1:1,2:2,3:0,4:1,5:2,6:2,7:1,8:1,9:2,10:2,11:3,12:2",4,"2,7,8",8,6,"1:0,2:2,3:0,4:1,5:0,6:0,7:1,8:2","1:2,2:2,4:3",Middle East and North Africa
1554,1,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","2,3,4,6,19,20,21,23,24","1,3,4,6,8,10,11,12,13,15","1,2,3,5,7,13,16,18","2,3,4,5,6,7,8,9,14,16","1,7,10,14,16","1:3,2:3,3:3,4:3,6:3,7:3,9:3,11:3,12:3",3,"6,8",8,1,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",Middle East and North Africa
1555,"1,2","1:3,2:3,3:1,4:1,5:1,6:1,7:1,8:3,9:3,10:3,11:1,12:1,13:1,14:1,15:3,16:2,17:1,18:3,20:1,21:1,22:1,23:3,24:1,25:3","2,3,22,23,24","1,3,4,15","1,2,9,10,13,15,20","1,2,13,16","1,3,4,6,11,18,19","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3,9:2,10:2,11:2,12:3",1,"7,8",7,1,"1:3,2:3,3:2,4:2,5:1,6:1,7:1,8:2","1:3,2:3,3:2,6:3,7:3",Middle East and North Africa
1556,"1,2,3,5,6","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,2,5,23,24","1,4,5,15","1,2,3,5,10,11,13,17,18,19","1,2,4,5,16","2,3,5,14,16","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",4,"1,2,3,4,5,8",10,4,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",Middle East and North Africa
1557,"2,4","1:2,2:2,3:2,4:2,5:2,6:1,7:0,8:2,9:2,10:2,11:2,12:1,13:2,14:1,15:2,16:2,17:2,18:1,19:1,20:1,21:3,22:3,23:2,24:0,25:2","1,6,12,23,24","4,9,15","1,3,10,19","4,5,13,16","2,4,5","1:2,2:2,3:2,4:2,5:2,6:3,7:2,8:2,9:2,10:1,11:1,12:2",1,"6,8",7,6,"1:3,2:1,3:1,4:2,5:2,6:1,7:1,8:2","1:2,2:3,3:2,4:2,5:2,6:2,7:2",Middle East and North Africa
1558,7,"1:0,2:0,3:0,4:3,5:2,6:3,7:0,8:2,9:1,10:0,11:3,12:0,13:1,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","5,8,11,23,24","4,15","2,3,9,10,20","14,16",22,"1:1,2:3,3:3,4:3,5:2,6:3,7:3,8:3,9:2,10:3,11:1,12:3",1,"6,8",7,6,"1:0,2:2,3:2,4:1,5:0,6:2,7:0,8:0","1:0,2:0,3:0,4:1,5:0,6:0,7:0",Middle East and North Africa
1559,"1,3,5","1:3,2:3,3:2,4:3,5:3,6:3,7:2,8:3,9:3,10:3,11:3,12:3,13:3,14:2,15:2,16:3,17:3,18:2,19:3,20:2,21:2,22:3,23:3,24:2,25:3","1,5,19,23,24","1,3,4,15","1,2,3,4,5,8,9,10,12,13,14,15,17,18,19,20,21","2,11,13,16","1,3,5,9,12,19,20,21","1:3,2:3,3:2,4:2,5:2,6:2,7:3,8:2,9:2,10:2,11:3,12:3",null,"2,8",10,4,"1:2,2:2,3:2,4:3,5:2,6:2,7:2,8:3","1:3,2:3,3:3,4:3,5:3,6:2,7:2",Middle East and North Africa
1560,1,"1:0,2:0,3:3,4:3,5:3,6:0,7:0,8:3,9:0,10:3,11:0,12:0,13:2,14:0,15:2,16:0,17:0,18:0,19:0,20:3,21:3,22:0,23:2,24:0,25:0","11,23,24","4,15","1,2,9,10,15,18,20","2,16","4,21","1:3,2:2,3:2,4:2,5:1,6:1,7:2,8:2,9:0,10:2,11:0,12:3",1,8,5,1,"1:2,2:2,3:0,4:3,5:2,6:1,7:0,8:0","1:3,2:3,3:0,4:0,5:2,6:0,7:0",Middle East and North Africa
1561,"2,3","1:3,2:3,3:3,4:3,5:1,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:2,14:2,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,2,3,6,7,10,23,24","7,9,15","1,2,9,10,12,20","1,2,11,16","1,2,8,9,13,17","1:1,2:3,3:3,4:3,5:2,6:3,7:3,8:2,9:3,10:3,11:3,12:3",1,"1,3,8",9,4,"1:2,2:3,3:2,4:3,5:1,6:1,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",Middle East and North Africa
1562,1,null,"23,24",15,null,16,null,null,null,8,10,7,null,null,null
1564,"1,2,3,5","1:2,2:2,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:2,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","2,3,4,5,6,8,11,21,23,24","1,4,15","3,9,10,17,20","1,2,13,16",3,"1:2,2:3,3:2,4:2,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",5,1,"1:2,2:0,3:0,4:2,5:0,6:3,7:0,8:2","1:3,3:0,5:3,7:2",Middle East and North Africa
